County|Voting unit|Q1: Yes|Q2: No|Q2: Yes|Q2: No 2|Q3: Yes|Q3: No|Q4: Yes|Q4: No
Penobscot|Chester|18|112|38|92|71|57|48|79
Franklin|Chesterville|60|248|162|148|188|121|158|147
Kennebec|China|207|967|588|587|822|337|720|407
Penobscot|Clifton|23|196|95|125|130|89|109|106
Kennebec|Clinton|87|558|263|382|410|235|322|310
Washington|Columbia|6|80|31|55|42|43|30|52
Washington|Columbia Falls|14|102|45|70|67|49|55|58
Washington|Cooper|3|41|27|18|32|13|31|14
Franklin|Coplin Plt.|3|41|21|23|30|14|25|19
Penobscot|Corinna|58|382|168|270|264|172|196|231
Penobscot|Corinth|45|504|166|381|283|264|229|306
York|Cornish|102|238|180|160|215|123|181|149
Somerset|Cornville|41|233|124|151|159|115|113|150
Hancock|Cranberry Isles|5|80|66|18|70|15|57|25
Washington|Crawford|3|35|14|24|18|20|12|26
Aroostook|Crystal|8|49|26|31|39|18|31|26
Cumberland|Cumberland|344|2435|1792|988|2164|603|1916|759
Knox|Cushing|42|316|196|164|259|102|224|126
Washington|Cutler|8|97|46|60|58|48|47|51
Aroostook|Cyr Plt.|5|23|13|15|23|5|17|11
Washington|Dallas Plt.|17|92|62|47|88|21|68|39
Lincoln|Damariscotta|93|707|520|275|632|158|529|231
Washington|Danforth|14|116|65|64|65|63|37|85
York|Dayton|153|411|271|290|342|218|293|253
Washington|Deblois|1|16|4|13|6|11|6|11
Hancock|Dedham|41|454|263|231|314|179|291|191
Hancock|Deer Isle|51|489|372|169|435|104|366|160
Oxford|Denmark|58|306|201|164|251|110|213|135
Somerset|Dennistown Plt.|0|6|1|6|2|5|3|3
Washington|Dennysville|7|139|76|70|95|52|71|71
Somerset|Detroit|17|133|75|75|93|57|62|84
Penobscot|Dexter|138|668|332|475|526|280|389|394
Oxford|Dixfield|191|571|352|406|423|335|329|414
Penobscot|Dixmont|30|297|146|181|194|131|175|145
Piscataquis|Dover-Foxcroft|117|774|465|423|596|293|512|354
Lincoln|Dresden|74|431|287|217|352|151|296|192
Penobscot|Drew Plt.|0|0|0|0|0|0|0|0
Androscoggin|Durham|915|188|528|571|645|454|616|451
Aroostook|Dyer Brook|8|61|26|42|38|30|29|37
Aroostook|Eagle Lake|86|198|153|129|203|79|149|128
Washington|East Machias|26|271|123|174|178|118|143|144
Penobscot|East Millinocket|69|373|234|204|302|136|231|207
Hancock|Eastbrook|10|67|31|46|38|39|27|48
Aroostook|Easton|85|283|140|226|234|131|202|157
Washington|Eastport|54|373|274|155|320|104|261|142
Penobscot|Eddington|62|592|222|372|340|257|284|304
Lincoln|Edgecomb|46|361|260|146|302|101|242|144
Penobscot|Edinburg|7|46|14|39|34|19|21|30
York|Eliot|262|1589|1120|728|1456|379|1245|525
Hancock|Ellsworth|226|1751|1058|924|1313|668|1172|738
Somerset|Embden|43|154|91|106|118|79|84|107
Penobscot|Enfield|48|246|118|179|161|136|146|146
Penobscot|Etna|30|227|102|154|134|120|103|148
Franklin|Eustis|31|147|90|88|119|56|94|78
Penobscot|Exeter|22|210|94|139|147|84|111|115
